name,time,max,service_name
max_duration_60s,1588087140000000000,35199000,auth.default
max_duration_60s,1588087140000000000,611248000,booking.default
max_duration_60s,1588087140000000000,43025000,customer.default
max_duration_60s,1588087140000000000,174088000,flight.default
max_duration_60s,1588087140000000000,12200000,istio-mixer
max_duration_60s,1588087140000000000,1244572000,istio-ingressgateway
max_duration_60s,1588087200000000000,1334000,istio-mixer
max_duration_60s,1588087200000000000,1070175000,istio-ingressgateway
max_duration_60s,1588087200000000000,34143000,customer.default
max_duration_60s,1588087200000000000,19391000,auth.default
max_duration_60s,1588087200000000000,424474000,booking.default
max_duration_60s,1588087200000000000,99235000,flight.default
max_duration_60s,1588087260000000000,483145000,booking.default
max_duration_60s,1588087260000000000,69323000,flight.default
max_duration_60s,1588087260000000000,51407000,customer.default
max_duration_60s,1588087260000000000,1000122000,istio-ingressgateway
max_duration_60s,1588087260000000000,25799000,auth.default
max_duration_60s,1588087320000000000,993444000,istio-ingressgateway
max_duration_60s,1588087320000000000,61516000,auth.default
max_duration_60s,1588087320000000000,91259000,flight.default
max_duration_60s,1588087320000000000,1887000,istio-mixer
max_duration_60s,1588087320000000000,303190000,booking.default
max_duration_60s,1588087320000000000,33815000,customer.default
max_duration_60s,1588087380000000000,439021000,booking.default
max_duration_60s,1588087380000000000,25666000,customer.default
max_duration_60s,1588087380000000000,35515000,flight.default
max_duration_60s,1588087380000000000,1230595000,istio-ingressgateway
max_duration_60s,1588087380000000000,31475000,auth.default
max_duration_60s,1588087380000000000,55753000,istio-mixer
max_duration_60s,1588087440000000000,751743000,auth.default
max_duration_60s,1588087440000000000,50428000,istio-mixer
max_duration_60s,1588087440000000000,504380000,flight.default
max_duration_60s,1588087440000000000,1231749000,booking.default
max_duration_60s,1588087440000000000,28097000,customer.default
max_duration_60s,1588087440000000000,2078998000,istio-ingressgateway
max_duration_60s,1588087500000000000,33927000,customer.default
max_duration_60s,1588087500000000000,1554929000,istio-ingressgateway
max_duration_60s,1588087500000000000,70556000,flight.default
max_duration_60s,1588087500000000000,32088000,auth.default
max_duration_60s,1588087500000000000,2185000,istio-mixer
max_duration_60s,1588087500000000000,748381000,booking.default
max_duration_60s,1588087560000000000,307000,istio-mixer
max_duration_60s,1588087560000000000,984221000,booking.default
max_duration_60s,1588087560000000000,245516000,flight.default
max_duration_60s,1588087560000000000,40196000,customer.default
max_duration_60s,1588087560000000000,1234029000,istio-ingressgateway
max_duration_60s,1588087560000000000,34033000,auth.default
max_duration_60s,1588087620000000000,1343972000,istio-ingressgateway
max_duration_60s,1588087620000000000,65960000,auth.default
max_duration_60s,1588087620000000000,129284000,flight.default
max_duration_60s,1588087620000000000,13903000,istio-mixer
max_duration_60s,1588087620000000000,575544000,booking.default
max_duration_60s,1588087620000000000,23013000,customer.default
max_duration_60s,1588087680000000000,470066000,booking.default
max_duration_60s,1588087680000000000,207289000,customer.default
max_duration_60s,1588087680000000000,58825000,flight.default
max_duration_60s,1588087680000000000,1793512000,istio-ingressgateway
max_duration_60s,1588087680000000000,36509000,auth.default
max_duration_60s,1588087680000000000,569000,istio-mixer
max_duration_60s,1588087740000000000,23917000,auth.default
max_duration_60s,1588087740000000000,50565000,istio-mixer
max_duration_60s,1588087740000000000,47675000,flight.default
max_duration_60s,1588087740000000000,579138000,booking.default
max_duration_60s,1588087740000000000,56438000,customer.default
max_duration_60s,1588087740000000000,1551344000,istio-ingressgateway
max_duration_60s,1588087800000000000,48788000,customer.default
max_duration_60s,1588087800000000000,2073432000,istio-ingressgateway
max_duration_60s,1588087800000000000,54342000,flight.default
max_duration_60s,1588087800000000000,47389000,auth.default
max_duration_60s,1588087800000000000,11626000,istio-mixer
max_duration_60s,1588087800000000000,369204000,booking.default
max_duration_60s,1588087860000000000,48474000,istio-mixer
max_duration_60s,1588087860000000000,628475000,booking.default
max_duration_60s,1588087860000000000,73354000,flight.default
max_duration_60s,1588087860000000000,33987000,customer.default
max_duration_60s,1588087860000000000,1467696000,istio-ingressgateway
max_duration_60s,1588087860000000000,33151000,auth.default
max_duration_60s,1588087920000000000,1411272000,istio-ingressgateway
max_duration_60s,1588087920000000000,23175000,auth.default
max_duration_60s,1588087920000000000,230296000,flight.default
max_duration_60s,1588087920000000000,31150000,istio-mixer
max_duration_60s,1588087920000000000,652817000,booking.default
max_duration_60s,1588087920000000000,39768000,customer.default
max_duration_60s,1588087980000000000,667618000,booking.default
max_duration_60s,1588087980000000000,38927000,customer.default
max_duration_60s,1588087980000000000,86272000,flight.default
max_duration_60s,1588087980000000000,1513498000,istio-ingressgateway
max_duration_60s,1588087980000000000,21117000,auth.default
max_duration_60s,1588087980000000000,3379000,istio-mixer
max_duration_60s,1588088040000000000,39971000,auth.default
max_duration_60s,1588088040000000000,9386000,istio-mixer
max_duration_60s,1588088040000000000,346806000,flight.default
max_duration_60s,1588088040000000000,530328000,booking.default
max_duration_60s,1588088040000000000,51653000,customer.default
max_duration_60s,1588088040000000000,1194332000,istio-ingressgateway
max_duration_60s,1588088100000000000,28861000,customer.default
max_duration_60s,1588088100000000000,839501000,istio-ingressgateway
max_duration_60s,1588088100000000000,44934000,flight.default
max_duration_60s,1588088100000000000,38755000,auth.default
max_duration_60s,1588088100000000000,6451000,istio-mixer
max_duration_60s,1588088100000000000,615607000,booking.default
max_duration_60s,1588088160000000000,2139000,istio-mixer
max_duration_60s,1588088160000000000,392022000,booking.default
max_duration_60s,1588088160000000000,80895000,flight.default
max_duration_60s,1588088160000000000,29886000,customer.default
max_duration_60s,1588088160000000000,857241000,istio-ingressgateway
max_duration_60s,1588088160000000000,36675000,auth.default
max_duration_60s,1588088220000000000,789613000,istio-ingressgateway
max_duration_60s,1588088220000000000,30077000,auth.default
max_duration_60s,1588088220000000000,60339000,flight.default
max_duration_60s,1588088220000000000,56945000,istio-mixer
max_duration_60s,1588088220000000000,483405000,booking.default
max_duration_60s,1588088220000000000,36950000,customer.default
max_duration_60s,1588088280000000000,95116000,flight.default
max_duration_60s,1588088280000000000,29573000,customer.default
max_duration_60s,1588088280000000000,884321000,istio-ingressgateway
max_duration_60s,1588088280000000000,30185000,auth.default
